STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_FORMS,PERSONS,PEDS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,CITY,MILEPT,YEAR,TWAY_ID,TWAY_ID2,RAIL,latitude,longitud
21,25,4,13,21,40,1,3,1,0,5,3,0,8,0,1,1,1,2,55,1,1,2,2,0,0,0,2,2,0,21,41,21,55,0,0,0,0,0,0,1,3,0,210182,3243,42,2004,SR-315,99999999999999999999,0000000,37.422536111,-83.46719444
27,109,4,13,22,22,2,2,0,1,2,2,0,12,5,2,1,2,2,65,1,2,2,1,21,3,0,3,1,0,22,22,22,30,23,19,0,0,0,0,1,3,1,270095,5424,649,2004,US-52,18,0000000,44.168891667,-92.54934167
28,67,4,13,21,34,1,1,0,1,13,3,0,34,0,1,6,1,2,55,2,1,2,1,0,0,0,2,1,0,21,48,22,0,22,16,0,0,0,0,1,3,0,280148,0,9,2004,SR-15,99999999999999999999,0000000,31.091366667,-89.60241667
42,99,4,13,18,0,1,1,0,0,6,5,0,42,0,1,6,1,2,55,1,1,2,2,0,0,0,1,2,0,99,99,99,99,0,0,0,0,0,0,1,3,1,420223,0,0,2004,EVERGREEN RD,99999999999999999999,0000000,40.363469444,-77.14554444
45,21,4,13,20,1,1,2,0,0,4,4,0,53,0,1,4,1,2,55,1,2,2,1,0,0,0,5,1,0,99,99,99,99,99,99,0,0,0,0,2,3,0,450226,0,99999,2004,SR-118,SR-764,0000000,35.032608333,-81.59559167
45,13,4,13,20,30,1,2,0,0,3,2,0,1,0,1,1,2,2,70,1,2,2,1,0,0,0,2,1,0,99,99,99,99,99,99,0,0,0,0,1,3,0,450245,0,0.0099999979,2004,US-278,SR-170,0000000,32.292369444,-80.93500833
47,9,4,13,19,19,2,7,0,0,14,4,0,12,5,1,1,1,2,40,2,2,2,2,0,0,0,1,2,0,99,99,99,99,99,99,0,0,0,0,3,3,0,470257,0,34,2004,WILDWOODRD,99999999999999999999,0000000,35.799236111,-83.89629722
47,97,4,13,16,47,2,3,0,0,4,3,0,12,5,2,1,1,2,55,1,1,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,3,0,470981,1040,146,2004,SR-88,EDITHNANKIPOORD,0000000,35.881733333,-89.42422778
47,151,4,13,16,59,2,2,0,1,2,2,0,12,1,1,1,1,2,55,1,1,2,2,0,0,0,1,2,0,99,99,99,99,99,99,0,0,0,0,1,3,0,470987,0,158,2004,US-SR29,99999999999999999999,0000000,36.471752778,-84.54389444
48,265,4,13,21,7,2,4,0,1,1,1,0,12,2,1,1,2,2,65,1,1,2,1,0,0,0,2,1,0,21,13,21,22,22,23,0,0,0,0,1,3,1,480752,0,241,2004,I-10,99999999999999999999,0000000,30.053688889,-99.03323056
48,85,4,13,17,2,3,3,0,1,13,2,0,12,4,1,1,5,2,60,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,3,1,483212,5530,52,2004,US-380,99999999999999999999,0000000,33.189961111,-96.54858889
