STATE,ST_CASE,VE_FORMS,VEH_NO,PER_NO,STR_VEH,COUNTY,DAY,MONTH,HOUR,MINUTE,ROAD_FNC,HARM_EV,MAN_COLL,SCH_BUS,MAKE,MAK_MOD,BODY_TYP,MOD_YEAR,VINTYPE,VINMAKE,VINA_MOD,VIN_BT,VINMODYR,VIN_LNGT,VIN_WGT,WGTCD_TR,WHLBS_LG,WHLBS_SH,SER_TR,FUELCODE,MCYCL_DS,CARBUR,CYLINDER,DISPLACE,MCYCL_CY,TIRE_SZE,TON_RAT,TRK_WT,TRKWTVAR,MCYCL_WT,VIN_REST,WHLDRWHL,TOW_VEH,SPEC_USE,EMER_USE,ROLLOVER,IMPACT1,IMPACT2,FIRE_EXP,AGE,SEX,PER_TYP,INJ_SEV,SEAT_POS,REST_USE,REST_MIS,AIR_BAG,EJECTION,EJ_PATH,EXTRICAT,DRINKING,ALC_DET,ALC_STATUS,ATST_TYP,ALC_RES,DRUGS,DRUG_DET,DSTATUS,DRUGTST1,DRUGTST2,DRUGTST3,DRUGRES1,DRUGRES2,DRUGRES3,HOSPITAL,DOA,DEATH_DA,DEATH_MO,DEATH_YR,DEATH_HR,DEATH_MN,DEATH_TM,LAG_HRS,LAG_MINS,P_SF1,P_SF2,P_SF3,CERT_NO,WORK_INJ,HISPANIC,RACE,LOCATION
12,121027,2,2,1,0,51,27,4,20,45,2,12,2,0,20,20471,30,1992,T,CHEV,S14,PK,92,17,,1,1179,1083,S,G,,,6,173,,,B,2645,01,,,42,0,0,0,0,12,12,0,30,1,1,3,11,3,0,1,0,0,0,0,9,0,0,96,8,8,0,0,0,0,0,0,0,5,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
12,121027,2,2,2,0,51,27,4,20,45,2,12,2,0,20,20471,30,1992,T,CHEV,S14,PK,92,17,,1,1179,1083,S,G,,,6,173,,,B,2645,01,,,42,0,0,0,0,12,12,0,36,1,2,4,13,3,0,1,0,0,0,0,9,0,0,96,8,8,0,0,0,0,0,0,0,1,0,29,4,2011,6,24,624,33,39,0,0,0,************,0,1,1,0
12,121283,1,0,1,1,86,27,4,20,13,13,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,1,5,4,0,96,8,97,8,0,0,0,9,0,0,96,0,8,0,0,0,0,0,0,0,5,0,27,4,2011,20,47,2047,0,34,0,0,0,************,0,7,1,3
12,121283,1,1,1,0,86,27,4,20,13,13,8,0,0,20,20421,15,2006,P,CHEV,TRL,UT,6,17,4417,,0,1130,,G,,F,6,256,,16R235,,,,,,,0,0,0,0,12,12,0,31,1,1,0,11,3,0,20,0,0,0,0,9,0,0,96,0,8,0,0,0,0,0,0,0,0,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
16,160026,2,1,1,0,27,27,4,16,56,15,12,6,0,7,7017,5,1993,P,DODG,SHA,4H,93,17,2544,,0,972,,G,,F,4,153,,14R185,,,,,,,0,0,0,0,1,1,0,17,1,1,3,11,3,0,1,0,0,1,0,1,2,1,0,0,8,0,0,0,0,0,0,0,1,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
16,160026,2,1,2,0,27,27,4,16,56,15,12,6,0,7,7017,5,1993,P,DODG,SHA,4H,93,17,2544,,0,972,,G,,F,4,153,,14R185,,,,,,,0,0,0,0,1,1,0,14,2,2,4,13,3,0,0,0,0,1,8,9,0,0,96,8,8,0,0,0,0,0,0,0,1,0,28,4,2011,12,28,1228,19,32,0,0,0,************,0,7,1,0
16,160026,2,2,1,0,27,27,4,16,56,15,12,6,0,12,12481,31,1994,T,FORD,F35,CW,94,17,,2,0,1680,COF,D,,,8,444,,,D,00000,00,,A,44,1,0,0,0,12,12,0,54,2,1,0,11,3,0,0,0,0,0,0,9,2,1,0,0,8,0,0,0,0,0,0,0,0,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
16,160026,2,2,2,0,27,27,4,16,56,15,12,6,0,12,12481,31,1994,T,FORD,F35,CW,94,17,,2,0,1680,COF,D,,,8,444,,,D,00000,00,,A,44,1,0,0,0,12,12,0,44,1,2,0,13,3,0,0,0,0,0,8,9,0,0,96,8,8,0,0,0,0,0,0,0,0,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
26,260192,1,1,1,0,25,27,4,16,45,4,16,0,0,20,20443,20,2000,T,CHEV,VTR,ES,0,17,,1,0,1200,VTR,G,,,6,207,,,,3838,00,,,42,0,0,0,0,0,13,0,46,1,1,4,11,3,0,20,0,0,1,0,8,2,1,0,0,8,2,1,0,0,1,0,0,0,7,27,4,2011,17,40,1740,0,55,0,0,0,************,0,7,1,0
26,260192,1,1,2,0,25,27,4,16,45,4,16,0,0,20,20443,20,2000,T,CHEV,VTR,ES,0,17,,1,0,1200,VTR,G,,,6,207,,,,3838,00,,,42,0,0,0,0,0,13,0,11,2,2,4,23,3,0,0,0,0,1,8,9,8,95,95,8,8,0,0,0,0,0,0,0,0,7,27,4,2011,17,40,1740,0,55,0,0,0,************,0,7,1,0
26,260192,1,1,3,0,25,27,4,16,45,4,16,0,0,20,20443,20,2000,T,CHEV,VTR,ES,0,17,,1,0,1200,VTR,G,,,6,207,,,,3838,00,,,42,0,0,0,0,0,13,0,14,2,2,3,13,3,0,20,0,0,1,8,9,0,0,96,8,8,0,0,0,0,0,0,0,5,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
26,260195,3,1,1,0,99,27,4,17,45,14,12,6,0,12,12481,31,2006,T,FORD,F15,4C,6,17,,2,0,1450,COF,G,,,8,329,,,B,4297,16,,E,44,0,0,0,0,5,12,0,57,1,1,0,11,3,0,1,0,0,0,0,9,0,0,96,0,8,0,0,0,0,0,0,0,0,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
26,260195,3,2,1,0,99,27,4,17,45,14,12,6,0,55,55033,4,2011,P,HYUN,SGL,4D,11,17,3161,,0,1100,,G,,F,4,144,,16R205,,,,,,,0,0,0,0,12,1,0,31,2,1,0,11,3,0,20,0,0,0,0,9,0,0,96,0,8,0,0,0,0,0,0,0,0,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
26,260195,3,3,1,0,99,27,4,17,45,14,12,6,0,49,49032,4,2010,P,TOYT,CBL,4D,10,17,2723,,0,1024,,G,,F,4,110,,15R195,,,,,,,0,0,0,0,9,9,0,57,1,1,4,11,3,0,9,0,0,0,0,9,0,0,96,0,8,0,0,0,0,0,0,0,5,0,29,4,2011,21,18,2118,51,33,0,0,0,************,0,7,1,0
26,260195,3,3,2,0,99,27,4,17,45,14,12,6,0,49,49032,4,2010,P,TOYT,CBL,4D,10,17,2723,,0,1024,,G,,F,4,110,,15R195,,,,,,,0,0,0,0,9,9,0,56,2,2,1,13,3,0,20,0,0,0,8,9,0,0,96,8,8,0,0,0,0,0,0,0,5,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
29,290247,1,1,1,0,139,27,4,18,51,1,59,0,0,6,6441,20,2005,T,CHRY,TOU,ES,5,17,,1,0,1193,TWC,G,,,6,230,,,,4256,00,,,42,0,0,0,0,12,9,0,72,2,1,4,11,3,0,1,0,0,0,8,9,0,0,96,8,8,0,0,0,0,0,0,0,5,0,29,4,2011,8,10,810,37,19,0,0,0,************,0,7,1,0
32,320064,1,1,1,0,3,27,4,22,18,16,33,0,0,53,53706,80,2001,M,SUZI,VL1,RS,1,17,,,,,,,1462,,2,,4,,,,,652,,,0,0,0,0,14,12,0,61,1,1,4,11,5,0,0,8,0,0,1,1,2,1,11,0,1,2,1,0,0,1,0,0,5,0,27,4,2011,22,58,2258,0,40,0,0,0,************,0,7,1,0
33,330021,1,1,1,0,11,27,4,19,51,2,25,0,0,12,12023,4,2006,P,FORD,F/L,4D,6,17,3101,,0,1074,,G,,F,4,140,,17R225,,,,,,,0,0,0,0,61,61,0,53,1,1,4,11,7,0,20,0,0,1,8,9,2,1,97,8,8,0,0,0,0,0,0,0,5,0,1,5,2011,99,99,9999,999,99,0,0,0,************,0,7,1,0
37,370260,1,1,1,0,93,27,4,17,5,5,1,0,0,99,99739,90,9999,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,0,0,13,2,1,4,11,99,0,0,1,9,0,0,9,2,1,0,0,8,0,0,0,0,0,0,0,0,7,27,4,2011,17,5,1705,0,0,0,0,0,************,0,7,3,0
37,370260,1,1,2,0,93,27,4,17,5,5,1,0,0,99,99739,90,9999,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,0,0,15,2,2,2,21,99,0,0,1,9,0,8,9,0,0,96,8,8,0,0,0,0,0,0,0,5,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
42,420283,2,1,1,0,109,27,4,19,48,3,24,0,0,20,20471,32,2000,T,CHEV,S14,PC,0,17,,1,0,1229,S,G,,,4,133,,,B,3185,03,,,42,0,0,0,0,5,10,0,64,1,1,4,11,3,0,20,0,0,1,0,5,2,1,0,0,7,2,1,0,0,1,0,0,0,7,27,4,2011,20,7,2007,0,19,0,0,0,************,0,99,99,0
42,420283,2,1,2,0,109,27,4,19,48,3,24,0,0,20,20471,32,2000,T,CHEV,S14,PC,0,17,,1,0,1229,S,G,,,4,133,,,B,3185,03,,,42,0,0,0,0,5,10,0,55,2,2,2,13,3,0,20,0,0,1,8,9,0,0,96,8,8,0,0,0,0,0,0,0,5,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
42,420283,2,2,1,0,109,27,4,19,48,3,24,0,0,84,84884,62,2005,T,INTL,430,CC,5,17,,6,0,0,40S,D,,,6,466,,,,00000,00,,,42,0,0,0,0,1,1,0,55,1,1,0,11,3,0,0,0,0,0,0,5,0,0,96,0,7,2,1,0,0,997,0,0,0,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
45,450205,1,0,1,1,83,27,4,22,24,3,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,1,6,4,0,96,8,97,8,0,0,8,9,2,1,0,8,8,2,1,0,0,1,0,0,5,0,27,4,2011,99,99,9999,999,99,0,0,0,************,0,7,1,13
45,450205,1,1,1,0,83,27,4,22,24,3,9,0,0,99,99999,99,9999,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,12,99,0,999,9,1,0,11,99,0,99,0,0,0,8,9,9,99,99,8,8,9,9,0,0,999,0,0,0,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
45,450206,2,1,1,0,11,27,4,19,20,4,12,2,0,23,23481,31,2005,T,GMC,2KH,4C,5,17,,2,1575,1430,SIE,G,,,8,366,,,C,5664,02,,U,44,0,0,0,0,12,12,0,19,1,1,3,11,7,0,1,0,0,0,8,9,9,99,99,8,8,9,9,0,0,999,0,0,5,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
45,450206,2,1,2,0,11,27,4,19,20,4,12,2,0,23,23481,31,2005,T,GMC,2KH,4C,5,17,,2,1575,1430,SIE,G,,,8,366,,,C,5664,02,,U,44,0,0,0,0,12,12,0,17,2,2,3,13,3,0,1,0,0,0,8,9,0,0,96,8,8,0,0,0,0,0,0,0,5,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
45,450206,2,2,1,0,11,27,4,19,20,4,12,2,0,12,12481,31,2002,T,FORD,F1S,CW,2,17,,2,0,1388,COF,G,,,8,330,,,B,5005,02,,E,44,0,0,0,0,12,12,0,20,1,1,4,11,7,0,1,0,0,0,8,9,2,1,0,8,8,2,1,0,0,1,0,0,0,7,27,4,2011,19,20,1920,0,0,0,0,0,************,0,7,1,0
45,450206,2,2,2,0,11,27,4,19,20,4,12,2,0,12,12481,31,2002,T,FORD,F1S,CW,2,17,,2,0,1388,COF,G,,,8,330,,,B,5005,02,,E,44,0,0,0,0,12,12,0,19,2,2,3,13,3,0,1,0,0,0,8,9,0,0,96,8,8,0,0,0,0,0,0,0,5,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
48,480836,1,1,1,0,339,27,4,22,15,6,1,0,0,53,53402,14,1993,P,SUZI,USD,UT,93,17,0,,0,866,,G,,F,4,097,,000000,,,,,,,0,0,0,1,0,0,0,63,1,1,4,11,7,0,0,1,9,0,1,1,2,1,10,8,8,0,0,0,0,0,0,0,5,0,3,5,2011,11,50,1150,133,35,0,0,0,************,0,99,1,0
48,480838,3,1,1,0,481,27,4,17,10,13,12,2,0,20,20431,16,1997,P,CHEV,C15,UT,97,17,4802,,0,1315,,G,,F,8,350,,15R235,,,,,,,0,0,0,0,12,12,0,65,2,1,4,11,99,0,20,0,0,0,1,1,2,98,21,8,8,9,9,0,0,999,0,0,0,7,27,4,2011,18,8,1808,0,58,0,0,0,************,0,99,1,0
48,480838,3,2,1,0,481,27,4,17,10,13,12,2,0,35,35481,31,2007,T,NISS,TXS,CW,7,17,,2,0,1398,TTN,F,,,8,342,,,,4993,00,,E,44,0,0,0,0,12,12,0,72,1,1,4,11,3,0,8,0,0,0,1,1,2,98,12,8,8,9,9,0,0,999,0,0,0,7,27,4,2011,18,8,1808,0,58,0,0,0,************,0,99,1,0
48,480838,3,2,2,0,481,27,4,17,10,13,12,2,0,35,35481,31,2007,T,NISS,TXS,CW,7,17,,2,0,1398,TTN,F,,,8,342,,,,4993,00,,E,44,0,0,0,0,12,12,0,57,2,2,3,13,3,0,20,0,0,0,8,9,0,0,96,8,8,0,0,0,0,0,0,0,1,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
48,480838,3,3,1,0,481,27,4,17,10,13,12,2,0,19,19003,4,1999,P,CADI,DFW,4D,99,17,4012,,0,1138,,G,,F,8,279,,16R225,,,,,,,0,0,0,0,12,12,0,69,2,1,0,11,3,0,8,0,0,0,8,9,0,0,96,8,8,0,0,0,0,0,0,0,0,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
