STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_FORMS,PERSONS,PEDS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,CITY,MILEPT,YEAR,TWAY_ID,TWAY_ID2,RAIL,latitude,longitud
35,25,4,27,23,45,2,4,0,1,2,2,0,12,1,1,2,2,4,70,1,1,2,1,0,0,0,2,1,0,99,99,99,99,99,99,0,0,0,0,2,3,1,350051,0,824,2004,US-62/180,99999999999999999999,0000000,32.635752778,-103.5258333
36,103,4,27,22,2,1,2,1,0,13,3,0,9,0,1,1,2,2,40,1,1,2,2,0,0,0,3,2,0,22,5,22,6,22,40,0,0,0,0,1,3,1,360298,705,26,2004,SR-25,99999999999999999999,0000000,40.865058333,-73.04253889
37,179,4,27,17,10,2,2,0,0,16,4,0,12,3,2,1,1,2,35,1,1,2,1,20,3,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,3,0,370357,2290,99999,2004,RP-1519,RP-1585,0000000,35.09045,-80.65519444
39,61,4,27,20,39,1,2,0,0,6,6,0,42,0,1,4,1,2,35,2,2,2,1,0,0,0,2,1,0,20,45,20,55,21,30,0,0,0,0,1,3,0,390295,0,0,2004,LOCKWOOD-HILL-RD,99999999999999999999,0000000,39.240469444,-84.66862778
39,67,4,27,17,10,2,2,0,1,2,2,0,12,8,1,1,1,2,55,2,1,2,1,0,0,0,1,1,0,17,8,17,14,17,58,0,0,0,0,1,3,0,390306,0,154,2004,US-250,3,0000000,40.288988889,-81.04283611
39,49,4,27,18,5,1,1,0,0,13,6,0,32,0,1,4,1,2,45,2,1,2,1,0,0,0,1,1,0,18,9,18,17,18,46,0,0,0,0,1,3,1,390307,3500,0,2004,AVERY RD,HAYDEN,0000000,40.053425,-83.15958056
45,79,4,27,19,57,2,4,0,0,13,3,0,12,5,1,1,2,2,35,1,1,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,3,3,450290,0,1.2899999619,2004,SR-215,SR-371,0000000,34.054825,-81.04431389
45,19,4,27,20,47,1,2,1,0,3,3,0,8,0,2,1,2,2,45,1,1,2,1,3,3,0,3,1,0,99,99,99,99,99,99,0,0,0,0,1,3,0,450365,410,99999,2004,SR-171,FT.JOHNSON RD.,0000000,32.716858333,-79.96558889
47,37,4,27,16,25,5,6,0,1,1,1,0,12,2,1,1,2,3,70,1,2,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,2,3,0,470971,1760,91,2004,I-24,99999999999999999999,0000000,36.263144444,-86.78968333
48,29,4,27,16,30,2,2,0,0,16,5,0,12,5,1,1,1,4,35,1,1,2,1,0,0,0,1,1,0,16,35,16,50,17,21,0,0,0,0,1,3,0,480821,6090,0,2004,STAHLPARK,99999999999999999999,0000000,29.575780556,-98.399
51,65,4,27,17,40,1,1,0,0,3,2,0,37,0,1,6,1,2,55,2,1,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,3,0,510215,0,100.59997559,2004,US-15,RT-695,0000000,37.741727778,-78.29023611
53,25,4,27,16,30,4,4,1,1,2,3,0,8,0,1,1,1,2,60,1,1,2,1,0,0,0,1,8,0,16,27,16,33,17,13,0,19,0,0,1,3,0,530140,0,463,2004,SR-17,99999999999999999999,0000000,,
