STATE,ST_CASE,VE_TOTAL,VE_FORMS,PEDS,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,ROAD_FNC,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,REL_ROAD,WRK_ZONE,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
29,290197,1,1,0,3,31,0,20,4,2010,3,16,20,0,4,3,SR-EE,,10,37.18430556,-89.727694440,0,35,0,0,1,1,4,0,1,1,0,1,0,0000000,16,22,16,28,88,88,0,0,0,1,0
31,310041,1,1,0,1,27,0,20,4,2010,3,20,30,0,5,4,552 AVE,,0,42.66804722,-97.483750000,0,35,0,0,1,1,4,0,5,10,0,10,0,0000000,99,99,99,99,88,88,0,0,0,1,0
32,320055,1,1,0,1,19,0,20,4,2010,3,21,50,0,3,2,US-95A,,182,39.06763056,-119.181194440,0,32,0,0,1,1,4,0,2,10,0,10,0,0000000,21,51,21,57,22,13,0,0,0,1,0
33,330030,1,1,0,1,19,50,20,4,2010,3,21,46,0,6,5,HANOVER STREET,,0,43.39610556,-72.335744440,0,30,0,0,1,1,4,0,3,1,0,1,0,0000000,21,46,21,50,88,88,0,0,0,1,1
34,340162,2,2,0,3,39,3395,20,4,2010,3,19,28,0,13,3,SR-439,,25,40.67238611,-74.230927780,0,12,2,0,1,1,1,0,5,1,0,1,0,0000000,19,34,19,44,19,49,0,0,0,1,0
36,360267,1,1,0,1,103,2840,20,4,2010,3,16,25,0,16,5,VANDERBILT PKWY,,0,40.81100000,-73.347708330,0,30,0,0,1,1,4,0,1,1,0,1,0,0000000,16,25,16,30,17,5,0,0,0,1,1
42,420342,3,3,0,5,101,6540,20,4,2010,3,22,41,0,14,3,SR-1013,,23,40.07498333,-75.001619440,0,12,1,0,1,1,1,0,3,1,0,1,0,0000000,22,38,22,42,23,1,0,0,0,1,0
46,460023,2,2,0,4,123,0,20,4,2010,3,16,31,1,2,2,US-18,,2550,43.35228611,-99.814833330,0,12,2,0,1,1,1,0,1,2,10,2,0,0000000,16,34,16,40,16,48,0,0,0,2,0
47,470247,1,1,0,1,73,0,20,4,2010,3,16,45,0,4,3,SR-347,,157,36.40638056,-82.771316670,0,38,0,0,1,1,4,0,1,2,0,2,0,0000000,99,99,99,99,99,99,0,0,0,1,0
47,470377,1,1,0,1,141,480,20,4,2010,3,22,57,0,16,6,E HUDGENS STREET,,1,36.15544167,-85.484163890,0,42,0,0,1,1,4,0,3,1,0,1,0,0000000,99,99,99,99,88,88,0,0,0,1,1
51,510167,1,1,0,1,800,2390,20,4,2010,3,18,50,0,15,6,KINGFORK RD,,31,36.77082778,-76.646555560,0,34,0,0,1,1,4,0,1,1,0,1,0,0000000,99,99,99,99,88,88,0,0,0,1,0
56,560023,1,1,0,2,25,90,20,4,2010,3,20,32,1,13,2,US-220,,1110,42.80853889,-106.412019440,0,1,0,0,1,1,4,0,2,1,0,1,0,0000000,20,34,20,46,21,1,0,0,0,1,0
