STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER1,WEATHER2,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,CITY,MILEPT,YEAR,TWAY_ID,TWAY_ID2,RAIL,VE_FORMS,WEATHER,latitude,longitud
28,45,4,20,17,7,1,2,1,0,4,4,0,9,0,1,1,1,2,35,1,2,2,1,0,0,0,1,1,0,0,17,27,18,0,99,99,0,0,0,0,1,6,0,280189,0,0,2007,LEETOWN RD.,99999999999999999999,0000000,1,1,30.55932500,-89.51915556
29,95,4,20,19,35,1,2,0,0,15,6,0,27,0,1,4,1,2,35,1,1,2,1,20,3,0,1,1,0,0,99,99,99,99,99,99,0,0,0,0,1,6,2,290229,3280,52,2007,GRANDVIEWRD,99999999999999999999,0000000,1,1,38.90876389,-94.53348889
29,189,4,20,23,56,2,4,0,0,14,4,0,12,1,2,1,5,2,30,1,1,2,1,3,3,1,2,1,0,0,23,59,0,3,99,99,0,0,0,0,1,6,1,290268,5035,28,2007,MARINE,MCKELVEY,0000000,2,1,38.70322500,-90.45766944
34,7,4,20,20,51,2,4,0,1,13,2,0,12,1,4,1,1,4,50,1,1,2,1,0,0,0,1,1,0,0,99,99,99,99,99,99,0,0,0,0,1,6,1,340115,3521,0,2007,US-30,99999999999999999999,0000000,2,1,39.77125833,-74.90026389
36,71,4,20,20,45,2,2,0,0,16,6,0,12,2,1,1,1,1,30,1,1,2,1,0,0,0,3,1,0,0,99,99,99,99,99,99,0,0,0,0,2,6,0,360196,3730,0,2007,INDUSTRIAL PL,HIGHLAND AVE.,0000000,2,1,41.46098333,-74.40933611
36,47,4,20,17,30,3,2,0,0,16,6,0,14,1,2,4,9,9,99,1,1,9,1,3,3,0,1,1,0,0,99,99,99,99,99,99,0,0,0,0,1,6,0,360396,4170,0,2007,AVE K,E 18TH ST,0000000,1,1,40.62311667,-73.95808333
36,5,4,20,21,40,2,3,0,1,1,1,0,12,1,1,1,3,9,99,1,1,2,1,0,0,0,3,1,0,0,99,99,99,99,99,99,0,0,0,0,1,6,0,360399,4170,0,2007,I-95,99999999999999999999,0000000,2,1,40.83318333,-73.86006389
39,95,4,20,22,35,2,2,0,0,14,6,0,12,5,2,1,1,2,35,1,1,2,1,0,0,0,3,1,0,0,22,37,22,41,0,0,0,0,0,0,1,6,1,390284,8120,0,2007,JACKMAN RD,GOULD ST,0000000,2,1,41.70125278,-83.58291111
39,49,4,20,19,0,1,2,1,0,16,6,0,8,0,1,99,1,2,35,1,1,2,1,0,0,2,1,1,0,0,19,35,19,53,20,6,0,0,0,0,1,6,0,390290,1800,0,2007,JOHN-GLENN-AVE,99999999999999999999,0000000,1,1,39.82677778,-82.93611389
39,133,4,20,23,45,1,3,0,0,4,4,0,37,0,1,4,1,2,45,1,2,2,1,0,0,0,2,1,0,0,23,47,23,52,0,26,0,0,0,0,1,6,0,390291,0,0,2007,164,99999999999999999999,0000000,1,1,41.25335556,-81.25043889
