STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER1,WEATHER2,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,CITY,MILEPT,YEAR,TWAY_ID,TWAY_ID2,RAIL,LATITUDE,LONGITUD,VE_FORMS,WEATHER
41,55,4,20,17,50,1,6,0,0,5,4,0,1,0,1,4,1,2,99,1,2,4,1,0,0,0,1,1,0,0,17,53,18,12,20,21,0,0,0,0,1,1,1,410083,0,24,2008,FINNEGAN RD,0,0000000,45.28067778,-120.7890806,1,1
41,67,4,20,20,8,2,2,0,0,3,4,0,12,4,1,1,1,2,35,2,1,2,1,0,0,0,5,1,0,0,20,9,20,16,20,57,0,0,0,0,1,1,0,410084,0,0,2008,SW SHOLLS FERRY RD,0,0000000,45.41871111,-122.8910333,2,1
45,19,4,20,20,51,2,2,0,1,2,2,0,12,5,2,1,1,2,50,1,1,2,1,20,3,0,3,1,0,0,99,99,99,99,99,99,0,0,0,0,1,1,1,450225,2100,99999,2008,US-17,MILEY HILL RD,0000000,32.78146667,-80.22036667,2,1
45,41,4,20,18,15,1,1,0,0,4,4,0,42,0,1,4,1,2,45,1,1,2,1,0,0,0,1,1,0,0,99,99,99,99,99,99,0,0,0,0,1,1,1,450235,0,127,2008,55,558,0000000,33.91113333,-79.81326944,1,1
45,63,4,20,18,32,1,1,0,1,1,1,0,1,0,1,3,2,2,70,1,2,2,1,0,0,0,1,1,0,0,99,99,99,99,99,99,0,0,0,0,1,1,1,450248,0,262,2008,I-26,US-21,0000000,33.956175,-81.09321944,1,1
45,73,4,20,20,6,2,3,0,0,3,3,0,12,4,4,1,1,2,99,2,2,2,1,0,0,0,1,1,0,0,99,99,99,99,99,99,0,0,0,0,2,1,1,450253,0,175,2008,SR-28,59,0000000,34.78776111,-83.11543333,2,1
45,13,4,20,21,10,1,2,1,0,4,4,0,9,0,1,1,1,2,45,1,1,2,1,0,0,0,2,1,0,0,99,99,99,99,99,99,0,0,0,0,1,1,1,450380,1145,99999,2008,482,CHINABERRY DRIVE,0000000,32.22968333,-80.74491944,1,1
47,111,4,20,16,35,1,1,0,0,3,3,0,42,0,1,4,1,3,55,2,1,2,1,0,0,0,1,1,0,0,99,99,99,99,99,99,0,0,0,0,1,1,0,470165,0,64,2008,SR-10,99999999999999999999,0000000,36.51313333,-86.03951389,1,1
48,347,4,20,21,50,1,1,0,0,6,4,0,1,0,1,1,1,2,60,2,1,5,1,0,0,0,2,1,0,0,21,54,22,17,22,49,0,0,0,0,1,1,1,480677,0,0,2008,836,99999999999999999999,0000000,31.75801944,-94.77751944,1,1
48,441,4,20,18,44,2,2,0,0,16,5,0,12,2,2,1,5,4,35,1,1,2,1,3,3,0,1,1,0,0,18,46,18,50,19,1,0,0,0,0,1,1,0,480755,30,0,2008,GRAPE,3RD,0000000,32.45263611,-99.74141944,2,1
48,453,4,20,17,50,2,5,0,0,4,8,0,12,5,2,1,1,2,65,1,1,2,1,20,3,0,1,1,0,0,18,0,18,15,18,39,0,0,0,0,1,1,0,480756,0,5,2008,FM973,RICHLAND,0000000,30.46116944,-97.46807222,2,1
48,361,4,20,17,52,2,4,0,0,3,3,0,12,2,1,1,1,2,70,1,1,2,1,0,0,0,1,1,0,0,17,52,18,10,99,99,0,0,0,0,1,1,1,480828,7200,46,2008,SR-12,99999999999999999999,0000000,30.17191667,-93.93598056,2,1
48,201,4,20,17,30,4,5,0,1,11,1,0,12,3,1,1,3,4,60,1,1,1,1,0,0,0,1,1,0,0,17,35,17,42,18,7,0,0,0,0,1,1,0,481177,3280,161,2008,I-45,99999999999999999999,0000000,29.68725,-95.27918889,4,1
48,201,4,20,18,15,1,1,0,0,16,5,0,1,0,1,1,1,2,45,2,2,1,1,0,0,0,1,1,0,0,18,16,18,20,99,99,0,0,0,0,1,1,1,482020,3280,0,2008,WOODWAY,99999999999999999999,0000000,,,1,1
