STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,LGT_COND,WEATHER1,WEATHER2,WRK_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,CITY,YEAR,MILEPT,TWAY_ID,TWAY_ID2,RAIL,LATITUDE,LONGITUD,VE_FORMS,WEATHER
19,113,4,20,17,55,1,3,0,0,16,6,0,42,0,1,4,1,2,35,1,1,2,2,0,0,1,1,0,0,18,1,18,8,18,21,0,0,0,0,1,2,1,190094,1340,2009,0,EAST POST RD.,99999999999999999999,0000000,41.99124722,-91.60178889,1,1
25,17,4,20,22,13,1,1,0,0,12,3,0,42,0,1,4,1,2,45,9,1,2,2,0,0,3,2,0,0,22,15,22,19,22,50,0,0,0,0,1,2,0,250074,1279,2009,0,SR-27,99999999999999999999,0000000,42.37680833,-71.39791389,1,2
25,17,4,20,18,51,2,2,0,1,12,2,0,12,2,1,1,1,2,45,2,1,2,1,0,0,1,1,0,0,18,52,18,58,99,99,0,0,0,0,1,2,0,250075,1279,2009,0,US-20,99999999999999999999,0000000,42.36114444,-71.45130278,2,1
25,5,4,20,16,49,4,4,0,1,12,2,0,12,2,1,1,2,2,50,1,1,2,1,0,0,1,1,0,0,16,50,16,55,99,99,0,0,0,0,1,2,0,250082,1280,2009,0,US-44,99999999999999999999,0000000,41.90291667,-70.99090556,4,1
26,15,4,20,17,53,4,4,0,0,3,3,0,12,2,1,1,1,2,55,2,1,2,2,0,0,1,1,0,0,17,54,18,2,99,99,0,0,0,0,2,2,0,260154,0,2009,117,SR-37,99999999999999999999,0000000,42.7424,-85.48921111,4,1
26,65,4,20,21,37,2,3,0,0,14,6,0,12,5,2,1,1,2,35,1,1,1,1,3,3,3,1,0,0,21,37,21,40,99,99,0,0,0,0,2,2,1,260158,2700,2009,15,E CAVANAUGH RD,S PENNSYLVANIA AVE,0000000,42.69011944,-84.53815278,2,1
28,59,4,20,17,50,1,2,0,1,1,1,0,42,0,1,6,2,4,70,1,1,2,1,0,0,1,1,0,0,18,12,18,36,19,0,0,0,0,0,1,2,0,280183,0,2009,99999,I-10,99999999999999999999,0000000,30.45751667,-88.47118333,1,1
36,13,4,20,18,40,1,3,1,0,14,5,0,8,0,1,1,1,2,30,1,1,2,2,0,0,1,2,0,0,18,40,18,43,18,50,0,0,0,0,1,2,0,360190,2950,2009,0,FALCONER ST,99999999999999999999,0000000,42.10537778,-79.22684444,1,2
37,125,4,20,22,1,1,1,0,0,16,6,0,43,0,1,5,1,2,35,2,3,2,1,0,0,2,1,0,0,99,99,99,99,88,88,0,0,0,0,1,2,1,370265,4740,2009,99999,UNION CH RD,99999999999999999999,0000000,35.25655278,-79.28360833,1,1
37,193,4,20,16,30,1,2,0,0,4,3,0,30,0,1,4,1,2,50,1,2,2,2,0,0,1,2,0,0,16,22,16,40,17,9,0,0,0,0,1,2,0,370293,0,2009,99999,SR-268,99999999999999999999,0000000,36.22896389,-80.92401667,1,2
37,25,4,20,20,35,1,1,0,0,16,6,0,30,0,1,4,1,2,35,1,2,2,1,0,0,2,1,0,0,20,34,20,42,21,2,0,0,0,0,1,2,1,370892,1040,2009,99999,BROAD STREET,99999999999999999999,0000000,35.40339167,-80.57658889,1,1
39,119,4,20,22,15,2,4,0,0,3,3,0,12,8,1,1,1,4,55,1,1,2,2,0,0,2,1,0,0,22,18,22,25,22,59,0,0,0,0,1,2,0,390218,0,2009,111,SR-60,99999999999999999999,0000000,39.87463611,-81.96237222,2,1
41,33,4,20,21,10,1,2,1,1,1,1,0,8,0,1,1,3,2,65,2,1,2,1,0,0,2,1,0,1,88,88,88,88,88,88,0,0,0,0,1,2,0,410073,0,2009,612,I-5,99999999999999999999,0000000,42.56784722,-123.3725389,1,1
45,3,4,20,22,41,1,2,1,0,4,4,0,8,0,1,1,1,2,45,1,2,2,1,0,0,2,1,0,0,99,99,99,99,88,88,0,0,0,0,1,2,0,450207,0,2009,31,65,99999999999999999999,0000000,33.47394444,-81.84101944,1,1
48,41,4,20,20,54,1,2,1,1,13,2,0,9,0,1,1,5,4,60,1,2,2,1,0,0,2,1,0,0,20,54,21,0,21,14,0,0,0,0,1,2,0,480709,970,2009,20,US-190,99999999999999999999,0000000,30.70623611,-96.34988333,1,1
48,439,4,20,16,31,2,2,0,0,16,5,0,12,2,1,1,1,4,40,2,1,2,1,0,0,1,1,0,0,16,32,16,45,17,17,0,0,0,0,1,2,0,480711,260,2009,0,DEBBIE,99999999999999999999,0000000,32.60425833,-97.09241944,2,1
48,39,4,20,20,38,1,1,0,1,13,3,0,30,0,2,99,1,9,30,1,1,5,1,99,9,3,1,0,0,88,88,88,88,88,88,0,0,0,0,1,2,1,480769,5249,2009,104,SR-35,KNAPP,0000000,29.59101389,-95.28655278,1,1
48,157,4,20,23,26,2,2,0,1,13,3,0,12,3,1,1,5,6,55,1,1,2,1,0,0,2,1,0,0,23,36,23,51,0,21,0,0,0,0,1,2,0,480770,6660,2009,39,SR-6,99999999999999999999,0000000,29.64356667,-95.65158611,2,1
48,91,4,20,16,34,2,2,0,1,13,8,0,12,2,1,1,1,2,60,2,1,2,1,0,0,1,1,0,0,99,99,17,7,99,99,0,0,0,0,1,2,0,480855,0,2009,4,FM2722,99999999999999999999,0000000,29.82564167,-98.24382222,2,1
48,113,4,20,22,30,1,2,0,1,11,1,0,26,0,5,8,6,2,55,1,2,1,1,0,0,3,1,0,0,22,32,22,36,99,99,0,0,0,0,1,2,1,480979,1730,2009,110,I-30,99999999999999999999,0000000,32.76390278,-96.84463333,1,1
48,453,4,20,16,44,2,2,0,0,16,7,0,12,5,2,1,4,2,70,1,2,2,1,3,3,1,1,0,0,16,45,16,52,88,88,0,0,0,0,1,2,0,481236,5325,2009,0,45TOLLWAY,HEATHERWILDE,0000000,30.48336667,-97.61389444,2,1
49,35,4,20,17,30,6,6,0,1,11,1,0,12,1,1,1,3,5,65,1,1,1,1,0,0,1,1,0,0,17,46,17,54,99,99,0,0,0,0,1,2,0,490064,1710,2009,2929,I-15,99999999999999999999,0000000,40.54576667,-111.8952361,6,1
49,23,4,20,17,29,1,7,0,1,1,1,0,1,0,1,3,2,2,75,1,2,2,1,0,0,1,1,0,0,17,33,17,44,99,99,0,0,0,0,3,2,0,490066,0,2009,2329,I-15,99999999999999999999,0000000,39.81872222,-111.8336972,1,1
51,145,4,20,17,53,2,2,0,0,4,4,0,12,2,1,1,1,2,55,2,2,2,2,0,0,1,1,0,0,99,99,99,99,99,99,0,0,0,0,1,2,0,510175,0,2009,103,RT-711,99999999999999999999,0000000,37.57152222,-77.71694167,2,1
51,171,4,20,23,31,3,5,0,1,1,1,0,12,1,15,1,3,4,45,2,1,2,1,0,0,2,5,0,0,99,99,99,99,99,99,0,0,0,0,3,2,0,510177,0,2009,2860,I-81,99999999999999999999,0000000,38.89420556,-78.51409444,3,5
56,33,4,20,23,58,1,2,0,1,11,1,0,31,0,13,4,6,1,75,2,2,2,1,0,0,3,1,0,0,0,2,0,5,0,33,0,18,0,0,1,2,1,560026,750,2009,209,I-90,99999999999999999999,0000000,44.82987222,-106.9574611,1,1
