STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_FORMS,ROAD_FNC,HARM_EV,MAN_COLL,SCH_BUS,VEH_NO,MAKE,BODY_TYP,MOD_YEAR,ROLLOVER,TOW_VEH,SPEC_USE,EMER_USE,IMPACT1,IMPACT2,IMPACTS,FIRE_EXP,WGTCD_TR,PER_NO,N_MOT_NO,AGE,SEX,PER_TYP,SEAT_POS,LOCATION,EJECTION,EXTRICAT,ALC_DET,DRINKING,INJ_SEV,HOSPITAL,DEATH_MO,DEATH_DA,DEATH_YR,DEATH_HR,DEATH_MN,LAG_HRS,LAG_MINS,P_CF1,P_CF2,P_CF3,WORK_INJ,ST_CASE,MAK_MOD,VIN_WGT,WHLBS_SH,WHLBS_LG,MCYCL_DS,DEATH_TM,CERT_NO,SER_TR,VINA_MOD,VIN_BT,REST_USE,AIR_BAG,EJ_PATH,DRUGS,DRUG_DET,DRUGTEST,DRUG_RES,ALC_RES
23,5,4,20,19,51,2,1,12,2,0,1,21,4,86,0,0,0,0,12,12,1,0,,1,0,28,2,1,11,0,0,0,8,0,4,0,4,20,92,19,51,0,0,0,0,0,0,230041,21001,2641,1049,0,,1951,************,***,CCI,4D,8,9,0,8,8,0,0,0
23,5,4,20,19,51,2,1,12,2,0,1,21,4,86,0,0,0,0,12,12,1,0,,2,0,61,2,2,13,0,0,0,9,8,4,0,4,20,92,19,51,0,0,0,0,0,0,230041,21001,2641,1049,0,,1951,************,***,CCI,4D,8,9,0,8,8,0,0,96
23,5,4,20,19,51,2,1,12,2,0,2,20,4,85,0,0,0,0,12,12,1,0,,1,0,76,1,1,11,0,0,0,1,1,4,0,4,20,92,19,51,0,0,0,0,0,0,230041,20017,2605,1049,0,,1951,************,***,CEL,4D,0,9,0,8,8,0,0,22
23,31,4,20,17,0,1,6,30,0,0,1,53,90,87,0,0,0,0,12,12,1,0,,1,0,18,1,1,11,0,0,0,9,0,9,1,0,0,0,0,0,,,0,0,0,8,230148,53799,,,,246,0,000000000000,***,LT4,AT,5,9,0,0,8,0,0,96
23,31,4,20,17,0,1,6,30,0,0,1,53,90,87,0,0,0,0,12,12,1,0,,2,0,14,2,2,21,0,0,0,9,0,4,0,4,20,92,17,0,0,0,0,0,0,0,230148,53799,,,,246,1700,************,***,LT4,AT,0,9,0,8,8,0,0,96
23,31,4,20,17,0,1,6,30,0,0,1,53,90,87,0,0,0,0,12,12,1,0,,3,0,14,1,2,52,0,0,0,9,0,9,1,0,0,0,0,0,,,0,0,0,8,230148,53799,,,,246,0,000000000000,***,LT4,AT,0,9,0,8,8,0,0,96
26,87,4,20,17,25,1,6,9,0,0,0,,,,,,,,,,,,,1,1,11,1,6,0,12,0,0,9,0,4,1,4,20,92,18,25,1,0,38,0,0,0,260388,,,,,,1825,************,,,,0,0,0,0,8,0,0,0
26,87,4,20,17,25,1,6,9,0,0,1,9,20,89,0,0,0,0,3,3,1,0,,1,0,17,1,1,11,0,0,0,9,0,0,0,0,0,0,0,0,,,0,0,0,8,260388,9442,3225,1190,0,,0,000000000000,***,VOF,SV,3,9,0,0,8,0,0,96
28,75,4,20,17,4,1,13,19,0,0,1,41,30,89,0,0,0,0,12,12,1,0,1,1,0,67,2,1,11,0,0,0,1,1,4,1,4,20,92,17,4,0,0,0,0,0,0,280166,41471,,,,,1704,************,B22,22S,PK,3,9,0,8,8,0,0,97
28,137,4,20,22,38,1,3,42,0,0,1,22,4,88,0,0,0,0,12,12,1,0,,1,0,38,1,1,11,0,0,0,9,8,4,1,4,20,92,22,38,0,0,0,0,0,0,280244,22002,3217,1108,0,,2238,************,***,BSE,4D,0,9,0,8,8,0,0,96
