STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,ROAD_FNC,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,REL_ROAD,WRK_ZONE,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
34,340120,2,2,0,0,0,2,2,33,0,20,4,2011,4,17,58,0,6,4,614,611,0,39.56765278,-75.247013890,0,12,6,0,2,2,1,0,1,1,0,1,0,0000000,17,58,18,13,18,26,0,0,0,1,0
34,340121,1,1,0,0,0,1,1,33,2725,20,4,2011,4,17,46,0,4,4,581,,0,39.54948056,-75.411611110,0,30,0,0,1,1,4,0,1,1,0,1,0,0000000,17,39,17,45,88,88,0,0,0,1,0
34,340140,1,1,0,0,0,1,1,31,2500,20,4,2011,4,16,42,1,12,3,SR-21,,124,40.86388333,-74.121666670,0,25,0,0,1,1,4,0,1,1,0,1,0,0000000,16,41,16,43,17,16,0,0,0,1,0
36,360220,1,1,0,0,0,1,1,105,6800,20,4,2011,4,23,9,1,2,3,SR-17,,0,41.59691111,-74.543233330,0,34,0,0,1,1,4,0,2,1,0,1,0,0000000,23,9,23,29,88,88,0,0,0,1,1
37,370271,1,1,0,1,1,1,1,125,4270,20,4,2011,4,20,21,0,16,6,MURRAY HILL RD,,99999,35.16433611,-79.427288890,0,8,0,0,1,1,1,0,5,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
40,400157,2,2,0,0,0,2,2,147,0,20,4,2011,4,21,59,1,2,2,US-75,,88,36.85556667,-95.935208330,0,12,8,0,1,1,1,0,2,1,0,1,0,0000000,99,99,99,99,88,88,0,0,0,1,1
42,420247,1,1,0,0,0,1,1,41,0,20,4,2011,4,18,47,0,4,3,SR-233,,69,40.07187222,-77.307525000,0,30,0,0,1,1,4,0,1,1,0,1,0,0000000,18,48,19,1,88,88,0,0,0,1,1
42,420335,2,2,0,0,0,2,2,45,1270,20,4,2011,4,16,40,0,13,3,SR-291,HIGHLAND AV,7,39.83074722,-75.390072220,0,12,6,0,2,2,1,1,1,1,0,1,0,0000000,16,38,16,49,88,88,0,0,0,1,0
45,450188,2,2,0,0,0,5,5,15,0,20,4,2011,4,18,30,0,4,2,US-176,CANE BAY BLVD,183,33.10387222,-80.126638890,0,12,6,0,2,3,1,0,1,1,0,1,0,0000000,19,33,19,45,20,13,0,0,0,1,0
48,480810,1,1,0,0,0,1,1,339,0,20,4,2011,4,22,0,0,4,8,FM 1774,,6,30.22326111,-95.793897220,0,42,0,0,1,1,4,0,2,1,0,1,0,0000000,88,88,88,88,88,88,0,0,0,1,1
49,490067,2,2,0,0,0,3,3,49,1730,20,4,2011,4,17,48,1,11,1,I-15,,2451,39.97626944,-111.770869440,0,12,7,0,1,1,1,0,1,1,0,1,0,0000000,17,48,17,52,99,99,0,0,0,1,0
54,540082,3,3,0,0,0,6,6,61,1840,20,4,2011,4,19,51,0,13,3,SR-705,STEWARTSTOWN RD,27,39.65261944,-79.936861110,0,12,6,0,2,2,1,0,2,10,0,10,0,0000000,19,52,19,56,20,17,0,0,0,1,0
