STATE,COUNTY,MONTH,DAY,YEAR,HOUR,MINUTE,VE_FORMS,PERSONS,FED_AID,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,MILEPT,CITY,TWAY_ID,RAIL,PEDS
18,85,4,20,92,22,53,2,2,4,4,4,0,12,1,2,1,1,2,55,1,1,2,1,0,0,0,2,1,0,22,58,23,4,23,26,0,0,0,0,1,2,0,180203,0,0,OLD US 30,0000000,0
20,91,4,20,92,19,5,1,2,4,4,4,0,32,0,1,4,1,2,45,1,2,2,1,0,0,0,1,1,0,19,9,19,19,20,13,0,0,0,0,1,2,0,200072,0,0,METCALF,0000000,0
21,145,4,20,92,21,3,2,2,5,6,4,0,12,2,1,1,2,2,55,1,3,2,1,0,0,0,2,1,0,21,5,21,16,23,1,0,0,0,0,2,2,1,210172,0,0,REIDLAND R,0000000,0
23,5,4,20,92,19,51,2,3,1,1,1,0,12,2,1,1,3,2,65,1,1,2,1,0,0,0,5,1,0,19,54,20,7,0,0,0,0,0,0,3,2,1,230041,407,7265,I95,0000000,0
23,31,4,20,92,17,0,1,3,5,6,5,0,30,0,1,4,1,2,45,2,2,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,2,0,230148,99999,4405,WHALEBACK,0000000,0
26,87,4,20,92,17,25,1,2,9,6,4,0,9,0,1,1,1,2,55,1,9,4,1,0,0,0,1,1,0,17,24,17,36,99,99,0,0,0,0,1,2,0,260388,41,0,JONES,0000000,1
28,75,4,20,92,17,4,1,1,3,13,6,0,19,0,10,6,1,2,35,1,1,2,2,0,0,0,1,2,0,17,11,17,20,17,28,0,0,0,0,1,2,1,280166,8,1590,8THST,0000000,0
28,137,4,20,92,22,38,1,1,2,3,3,0,42,0,1,6,1,2,55,1,1,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,280244,11,0,305,0000000,0
31,55,4,20,92,16,30,4,7,2,2,2,0,12,2,1,1,1,2,55,1,1,1,4,0,0,0,1,4,0,16,0,16,15,99,99,0,0,0,0,1,2,0,310060,1740,0,275,0000000,0
34,15,4,20,92,18,29,1,2,2,12,3,0,9,0,10,1,1,2,50,1,2,1,1,20,3,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,2,0,340165,12,747,RT41,0000000,1
35,15,4,20,92,17,45,2,4,2,13,6,0,12,4,4,1,2,2,40,1,1,2,1,0,0,0,1,1,0,17,49,17,51,18,16,0,0,0,0,1,2,0,350129,0,130,CANAL,0000000,0
36,119,4,20,92,17,40,1,1,2,13,2,0,42,0,1,5,2,2,30,2,1,2,1,0,0,0,1,1,0,17,41,17,47,18,0,0,0,0,0,1,2,1,360408,2,2570,9,0000000,0
36,65,4,20,92,23,43,2,2,2,13,3,0,12,2,1,1,1,2,55,1,1,1,1,0,0,0,2,1,0,23,46,23,55,2,11,0,0,0,0,1,2,1,360447,182,0,69,0000000,0
36,53,4,20,92,22,27,1,2,5,5,4,0,8,0,1,1,1,2,55,1,1,2,1,0,0,0,2,1,0,22,31,22,35,23,4,0,0,0,0,1,2,0,360458,0,0,105,0000000,1
37,155,4,20,92,17,45,1,3,2,2,2,0,27,0,1,2,1,2,55,2,1,2,1,0,0,0,1,1,0,99,99,18,4,99,99,0,0,0,0,1,2,1,370304,99999,0,US74,0000000,0
37,21,4,20,92,16,23,2,2,4,4,4,0,12,2,1,1,1,2,55,2,2,2,1,0,0,0,1,1,0,99,99,16,37,99,99,0,0,0,0,1,2,0,370305,375,0,RP1004,0000000,0
39,105,4,20,92,18,20,1,1,5,5,4,0,1,0,1,5,1,2,55,2,2,9,1,0,0,0,1,1,0,99,99,18,55,99,99,0,0,0,0,1,2,1,390352,0,0,31,0000000,0
45,27,4,20,92,23,22,1,2,4,4,2,0,8,0,1,1,1,2,55,1,2,2,2,0,0,0,2,1,0,23,25,23,39,99,99,0,0,0,0,1,2,0,450174,132,0,301,0000000,1
47,11,4,20,92,16,56,1,2,2,13,3,0,37,0,1,6,2,2,45,1,1,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,2,0,470304,102,420,SR2,0000000,0
48,141,4,20,92,21,25,1,1,1,11,1,0,1,0,1,4,2,2,55,1,1,1,1,0,0,0,2,1,0,21,31,21,39,0,0,0,0,0,0,1,2,0,481279,106,2190,I10,0000000,0
51,111,4,20,92,18,45,1,4,5,6,4,0,37,0,1,6,1,2,55,1,3,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,2,2,1,510203,20,0,RT640,0000000,0
54,47,4,20,92,20,0,1,3,2,3,2,0,36,0,1,4,1,2,45,2,1,2,2,0,0,0,2,2,0,20,9,20,13,20,25,0,0,0,0,1,2,1,540191,190,0,52,0000000,0
55,105,4,20,92,16,20,2,5,4,4,4,0,12,4,1,1,1,2,55,1,1,2,2,0,0,0,1,1,0,16,20,16,27,17,2,0,2,0,0,1,2,1,550126,0,0,M,0000000,0
